epoch,loss,val_loss,binary_accuracy,val_binary_accuracy,test_binary_accuracy,precision_1,val_precision_1,test_precision_1,recall_1,val_recall_1,test_recall_1,f1_score,val_f1_score,test_f1_score
0,0.3286694884300232,0.33922848105430603,0.8999860286712646,0.8999983668327332,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3108789920806885,0.36729609966278076,0.9000043869018555,0.8999983668327332,0.9,0.4996034801006317,0.0,0.0,0.012600000016391277,0.0,0.0,0.02458008966717068,0.0,0.0
2,0.2759068012237549,0.4871174395084381,0.9014526009559631,0.8677499294281006,0.8770833,0.5394994616508484,0.2051563411951065,0.07692308,0.09916000068187714,0.11219999939203262,0.020833334,0.16752829732493188,0.1450643184847325,0.03278688290713403
3,0.2517855763435364,0.3812159299850464,0.9062989354133606,0.8779599666595459,0.875,0.5859771966934204,0.31366249918937683,0.1,0.21461999416351318,0.18549999594688416,0.03125,0.31417152695433265,0.23312805641295445,0.04761904686303563
4,0.23108136653900146,0.283890038728714,0.9122848510742188,0.8960802555084229,0.88,0.6236762404441833,0.4667796492576599,0.1923077,0.3097800016403198,0.2754000127315521,0.0625,0.4139506835084919,0.3464150965057893,0.09433961383591516
5,0.21311183273792267,0.28725263476371765,0.9186709523200989,0.8940795063972473,0.878125,0.6583115458488464,0.4569767415523529,0.21621622,0.3881799876689911,0.31439998745918274,0.083333336,0.4883811423663051,0.37251183383441216,0.12030075066882626
6,0.19590671360492706,0.25860434770584106,0.925163984298706,0.9036101698875427,0.8776786,0.6897508502006531,0.5256720185279846,0.23404256,0.45735999941825867,0.36959999799728394,0.09821428,0.5500156254319071,0.434032051128066,0.13836477232504327
7,0.18036958575248718,0.23801010847091675,0.9312453866004944,0.9088196158409119,0.8773438,0.7164989709854126,0.5557662844657898,0.26229507,0.5170400142669678,0.43950000405311584,0.125,0.6006435785271145,0.49084206837665745,0.16931216188694317
8,0.16566963493824005,0.23275068402290344,0.9372913837432861,0.9137400388717651,0.8784722,0.7437258362770081,0.5857036113739014,0.28169015,0.5689799785614014,0.46950000524520874,0.1388889,0.6447219207434276,0.5212033804190951,0.18604652409542474
9,0.15108650922775269,0.2371242493391037,0.9432492852210999,0.9122897386550903,0.87875,0.768480122089386,0.5730417370796204,0.29761904,0.6189799904823303,0.4821000099182129,0.15625,0.6856756614742434,0.5236517753134515,0.20491803580704776
10,0.13753123581409454,0.2423628717660904,0.9487465620040894,0.9153597950935364,0.88125,0.790479838848114,0.5884996652603149,0.33333334,0.6632599830627441,0.510699987411499,0.1875,0.7213032662614558,0.546846549988158,0.2399999770814553
11,0.12460682541131973,0.24473720788955688,0.9542760252952576,0.9149102568626404,0.8838542,0.8128660321235657,0.5844376683235168,0.36036035,0.705079972743988,0.515999972820282,0.20833333,0.7551461701017155,0.5480906994714893,0.2640263960950948
12,0.11253751814365387,0.24377155303955078,0.9591714143753052,0.9177296161651611,0.8865385,0.8318452835083008,0.5990391969680786,0.3888889,0.7416399717330933,0.5361999869346619,0.23557693,0.7841569618419754,0.5658804088385848,0.29341316409588497
13,0.10138574242591858,0.26888972520828247,0.9638763070106506,0.9132401347160339,0.8879465,0.8501359224319458,0.5726514458656311,0.40425533,0.7754600048065186,0.5217999815940857,0.2544643,0.8110827437415816,0.5460443537011866,0.312328762567765
14,0.09118913859128952,0.2809401750564575,0.9681463837623596,0.9150103330612183,0.89000005,0.8669049739837646,0.5816382169723511,0.42307693,0.8050600290298462,0.5346999764442444,0.275,0.8348386935005873,0.5571822946887515,0.3333333214429725
15,0.08342377841472626,0.29267293214797974,0.971837043762207,0.9116694331169128,0.8894532,0.8811009526252747,0.5628297328948975,0.42105263,0.8304200172424316,0.5227000117301941,0.28125,0.8550101072415247,0.5420231121861223,0.3372365354665909
16,0.07469022274017334,0.28466007113456726,0.9749025702476501,0.9162599444389343,0.89007354,0.8932831883430481,0.5870822668075562,0.42702702,0.8506199717521667,0.5480999946594238,0.2904412,0.8714297140632671,0.566921798181419,0.34573303562053526
17,0.0684124305844307,0.30601218342781067,0.9775748252868652,0.9139496088027954,0.890625,0.9032143950462341,0.5740839242935181,0.4321608,0.8688200116157532,0.5404999852180481,0.2986111,0.8856834086482314,0.5567859847296956,0.3531827592682152
18,0.06210141256451607,0.2883042097091675,0.9801891446113586,0.9163501262664795,0.8921053,0.9140537977218628,0.5874050855636597,0.44392523,0.8850600123405457,0.5493999719619751,0.3125,0.8993232740145055,0.567767239534616,0.36679535175431094
19,0.057081438601017,0.32485052943229675,0.982324481010437,0.9121300578117371,0.89281255,0.9228999018669128,0.5639835596084595,0.44978166,0.8982399702072144,0.534600019454956,0.321875,0.9104029718058023,0.5488988274365229,0.3752276865538083
20,0.053048864006996155,0.30281078815460205,0.9837798476219177,0.9171606302261353,0.8946429,0.9285991787910461,0.5904300212860107,0.46311477,0.9075199961662292,0.5601999759674072,0.33630952,0.9179385849029437,0.5749178826378577,0.38965516059785293
21,0.04891805723309517,0.32462984323501587,0.9853566288948059,0.9154796600341797,0.8948864,0.9352371096611023,0.5807933211326599,0.4653846,0.9169999957084656,0.5564000010490417,0.34375,0.9260287664352448,0.568335032122497,0.39542483628824876
22,0.0464610792696476,0.3398004174232483,0.9862347841262817,0.9141601324081421,0.8948369,0.9381682276725769,0.5740585923194885,0.46545455,0.9231200218200684,0.548799991607666,0.3478261,0.9305832886262034,0.5611451920145919,0.3981337602575849
