epoch,loss,val_loss,binary_accuracy,val_binary_accuracy,test_binary_accuracy,precision_1,val_precision_1,test_precision_1,recall_1,val_recall_1,test_recall_1,f1_score,val_f1_score,test_f1_score
0,0.06665045022964478,0.03566635027527809,0.9785182476043701,0.9936884641647339,1.0,0.9341210126876831,0.9771824479103088,1.0,0.8446166515350342,0.9592999815940857,1.0,0.887116940624262,0.9681586418458153,0.999999995
1,0.011584396474063396,0.01002228818833828,0.9967944025993347,0.9968584775924683,1.0,0.9851629137992859,0.9847847819328308,1.0,0.982699990272522,0.9837999939918518,1.0,0.9839299057719635,0.9842921366414067,0.999999995
2,0.0026935015339404345,0.0075399260967969894,0.9995888471603394,0.9978389739990234,1.0,0.9981160163879395,0.989591658115387,1.0,0.9977666735649109,0.9887999892234802,1.0,0.997941309403384,0.9891956602731848,0.999999995
3,0.0005971234641037881,0.007621252443641424,0.999980092048645,0.9978088736534119,1.0,0.999916672706604,0.9893925786018372,1.0,0.9998833537101746,0.9886999726295471,1.0,0.9999000079308227,0.9890461493617524,0.999999995
4,0.0002479611721355468,0.006857579108327627,0.9999966621398926,0.9979589581489563,1.0,0.9999833106994629,0.9899960160255432,1.0,0.9999833106994629,0.9896000027656555,1.0,0.9999833056994629,0.9897979647848658,0.999999995
5,0.00016515949391759932,0.006995467469096184,1.0,0.997978925704956,1.0,1.0,0.9900960326194763,1.0,1.0,0.9897000193595886,1.0,0.999999995,0.989897981382801,0.999999995
6,0.00012865195458289236,0.007117695640772581,1.0,0.9979289174079895,1.0,1.0,0.9898949265480042,1.0,1.0,0.9894000291824341,1.0,0.999999995,0.9896474109938441,0.999999995
7,0.00010629706957843155,0.007217972539365292,1.0,0.997918963432312,1.0,1.0,0.989893913269043,1.0,1.0,0.989300012588501,1.0,0.999999995,0.9895968688222898,0.999999995
8,9.078702714759856e-05,0.00730420695617795,1.0,0.997908890247345,1.0,1.0,0.989794909954071,1.0,1.0,0.989300012588501,1.0,0.999999995,0.9895473943936575,0.999999995
9,7.932818698463961e-05,0.007380048278719187,1.0,0.997938871383667,1.0,1.0,0.9898959398269653,1.0,1.0,0.9894999861717224,1.0,0.999999995,0.9896979183965302,0.999999995
10,7.047913095448166e-05,0.007449153810739517,1.0,0.9979188442230225,1.0,1.0,0.9897959232330322,1.0,1.0,0.9894000291824341,1.0,0.999999995,0.9895979316128416,0.999999995
11,6.343224231386557e-05,0.007511514239013195,1.0,0.997938871383667,1.0,1.0,0.9898959398269653,1.0,1.0,0.9894999861717224,1.0,0.999999995,0.9896979183965302,0.999999995
12,5.768031769548543e-05,0.007571058813482523,1.0,0.997938871383667,1.0,1.0,0.9898959398269653,1.0,1.0,0.9894999861717224,1.0,0.999999995,0.9896979183965302,0.999999995
13,5.290157423587516e-05,0.007627477403730154,1.0,0.9979588985443115,1.0,1.0,0.9899960160255432,1.0,1.0,0.9896000027656555,1.0,0.999999995,0.9897979647848658,0.999999995
14,4.8864458221942186e-05,0.007677256595343351,1.0,0.9979488253593445,1.0,1.0,0.9898969531059265,1.0,1.0,0.9896000027656555,1.0,0.999999995,0.9897484506625808,0.999999995
15,4.540822556009516e-05,0.0077246627770364285,1.0,0.9979689717292786,1.0,1.0,0.9899969696998596,1.0,1.0,0.9897000193595886,1.0,0.999999995,0.9898484672587644,0.999999995
16,4.241833812557161e-05,0.007769544143229723,1.0,0.9979888796806335,1.0,1.0,0.9900970458984375,1.0,1.0,0.989799976348877,1.0,0.999999995,0.9899484838370647,0.999999995
17,3.980383189627901e-05,0.00781260896474123,1.0,0.9979888796806335,1.0,1.0,0.9900970458984375,1.0,1.0,0.989799976348877,1.0,0.999999995,0.9899484838370647,0.999999995
18,3.750031100935303e-05,0.007852021604776382,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
19,3.545594518072903e-05,0.007892162539064884,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
20,3.362871939316392e-05,0.007929373532533646,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
21,3.198572449036874e-05,0.007965563796460629,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
22,3.050043414987158e-05,0.007999619469046593,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
23,2.9151115086278878e-05,0.008032485842704773,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
24,2.7920459615415893e-05,0.008063550107181072,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
25,2.6792149583343416e-05,0.008093872107565403,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
26,2.5754250600584783e-05,0.00812336802482605,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
27,2.4796505385893397e-05,0.008149578236043453,1.0,0.9980289340019226,1.0,1.0,0.9902970790863037,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9901485170294333,0.999999995
28,2.3908960429253057e-05,0.0081765316426754,1.0,0.9980189204216003,1.0,1.0,0.990198016166687,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9900989979520423,0.999999995
29,2.308482726220973e-05,0.008201709017157555,1.0,0.9980189204216003,1.0,1.0,0.990198016166687,1.0,1.0,0.9900000095367432,1.0,0.999999995,0.9900989979520423,0.999999995
