epoch,loss,val_loss,binary_accuracy,val_binary_accuracy,test_binary_accuracy,precision_1,val_precision_1,test_precision_1,recall_1,val_recall_1,test_recall_1,f1_score,val_f1_score,test_f1_score
0,0.15175797045230865,0.5398908853530884,0.9425222277641296,0.8999983668327332,0.9,0.7894665002822876,0.0,0.0,0.5798500180244446,0.0,0.0,0.6686140931701906,0.0,0.0
1,0.07698042690753937,0.08646509051322937,0.9696261286735535,0.9700998067855835,0.9375,0.862785279750824,0.8737470507621765,0.875,0.8278999924659729,0.8194000124931335,0.4375,0.8449827228269025,0.845701304534468,0.583333328888889
2,0.06331790238618851,0.06809266656637192,0.9750773310661316,0.9729697108268738,0.9583333,0.8860850930213928,0.8724859356880188,0.9375,0.861466646194458,0.8546000123023987,0.625,0.8736024597504034,0.8634503545385062,0.7499999952
3,0.05657104402780533,0.06353475898504257,0.9775975346565247,0.9750193357467651,0.965625,0.8967850804328918,0.8828332424163818,0.9375,0.8768166899681091,0.8650000095367432,0.703125,0.8866884714788359,0.8738256442793392,0.8035714236734695
4,0.0509188249707222,0.06109552085399628,0.9798503518104553,0.9757887721061707,0.96999997,0.9066983461380005,0.8840579986572266,0.9375,0.8899999856948853,0.8723000288009644,0.75,0.8982715643508437,0.8781396517608144,0.8333333283950618
5,0.04684560373425484,0.060722630470991135,0.9813532829284668,0.9764589667320251,0.97291666,0.9135275483131409,0.887885570526123,0.9375,0.8985000252723694,0.8751000165939331,0.78125,0.9059514685998472,0.8814464267549119,0.8522727223140496
6,0.04255201295018196,0.06339897215366364,0.9832317233085632,0.9764194488525391,0.9767857,0.9218810796737671,0.8866626024246216,0.9479167,0.9092666506767273,0.8762000203132629,0.8125,0.9155304109724836,0.8814002586791212,0.874999978100457
7,0.039433158934116364,0.06404782831668854,0.9846974015235901,0.9762492179870605,0.97812504,0.9284605979919434,0.885685384273529,0.9464286,0.9175666570663452,0.8755000233650208,0.828125,0.9229814783806973,0.8805632466174235,0.8833333932933799
8,0.03589033707976341,0.06848564743995667,0.9859007000923157,0.9760485291481018,0.98055565,0.9337586760520935,0.8838195204734802,0.953125,0.9244833588600159,0.8755999803543091,0.8472222,0.9290978638276914,0.8796905456609777,0.8970587883606405
9,0.033481474965810776,0.0654996708035469,0.9869534969329834,0.9768086671829224,0.9812501,0.9382960796356201,0.8874205350875854,0.9513889,0.9306333065032959,0.8797000050544739,0.85625,0.934448979051183,0.8835433996160987,0.9013158061807955
10,0.030468381941318512,0.06526116281747818,0.9884249567985535,0.9779391884803772,0.98068196,0.9453772902488708,0.8923680782318115,0.94375,0.9383500218391418,0.8863000273704529,0.85795456,0.9418505433875204,0.8893236970108603,0.8988095196085373
11,0.02785402163863182,0.06853970885276794,0.989459216594696,0.9784888625144958,0.98229176,0.9499337673187256,0.8946998119354248,0.9488636,0.9442499876022339,0.8895999789237976,0.8697917,0.9470833449478742,0.8921426023335374,0.9076087198732525
12,0.02614792063832283,0.06729152053594589,0.9899651408195496,0.9776086807250977,0.9826924,0.9520419239997864,0.8905888199806213,0.9479167,0.9472500085830688,0.8848000168800354,0.875,0.9496399162878013,0.887684975993173,0.9099999989316887
13,0.023724017664790154,0.07830402255058289,0.9912381768226624,0.9756887555122375,0.98303586,0.9582412242889404,0.8805429935455322,0.94711536,0.9538333415985107,0.8756999969482422,0.87946427,0.9560321972240566,0.8781148127495151,0.9120370308353091
14,0.022587591782212257,0.07947955280542374,0.991717517375946,0.9763492345809937,0.98333347,0.9605289697647095,0.884479820728302,0.9464286,0.9563666582107544,0.8781999945640564,0.8833333,0.9584432900047657,0.8813287162083228,0.9137931051938933
15,0.020483406260609627,0.07858845591545105,0.9922775626182556,0.977459192276001,0.9843751,0.9629536867141724,0.8893244862556458,0.95,0.9595833420753479,0.8847000002861023,0.890625,0.961265555167415,0.8870062107694151,0.9193547710384391
16,0.019100315868854523,0.07372035831212997,0.9929656982421875,0.9781386852264404,0.98382366,0.9660566449165344,0.8927422761917114,0.9453125,0.9634000062942505,0.8881000280380249,0.8897059,0.9647264916633616,0.8904150964758677,0.9166666508440017
17,0.017606936395168304,0.07331005483865738,0.993546724319458,0.977928876876831,0.98402786,0.9687144756317139,0.8910970687866211,0.94485295,0.9665833115577698,0.8877999782562256,0.8923611,0.9676477151680174,0.8894454630309658,0.91785716659641
18,0.01660768687725067,0.07992973923683167,0.9939899444580078,0.9775586724281311,0.9848685,0.9710147380828857,0.8895138502120972,0.9479167,0.9687166810035706,0.8855999708175659,0.8980263,0.9698643432552012,0.8875525907346616,0.922297289682879
19,0.015699703246355057,0.08191773295402527,0.9945710897445679,0.9775885939598083,0.985,0.973827064037323,0.8897036910057068,0.94736844,0.9717333316802979,0.885699987411499,0.9,0.9727790662643419,0.8876973198430604,0.9230768783699074
20,0.014636152423918247,0.0805359035730362,0.9948757290840149,0.9778691530227661,0.9857143,0.9751728177070618,0.8904824256896973,0.95,0.9734500050544739,0.8878999948501587,0.9047619,0.9743106447958716,0.8891893302657314,0.9268293212972357
21,0.013724472373723984,0.08386017382144928,0.9951143860816956,0.9781292676925659,0.98636365,0.976279079914093,0.8925735950469971,0.95238096,0.9747333526611328,0.8881999850273132,0.90909094,0.9755055989714922,0.8903814142071095,0.9302325933536142
22,0.013329810462892056,0.08182398974895477,0.9952016472816467,0.9775291085243225,0.98641306,0.9767612814903259,0.8893240690231323,0.95170456,0.9751333594322205,0.8855000138282776,0.91032606,0.9759466366002942,0.8874079167503546,0.9305555158799172
